symbol,date,open,high,low,close,prev_close,total_trade,volume,delivery_qty,delivery_per,vwap
AARTIIND,2025-04-15,387.9,401.5,386.1,398.35,382.95,34889,2101013,620695,29.54,396.52
AARTIIND,2025-04-16,399.0,407.8,396.05,404.2,398.35,23533,1527743,668486,43.76,401.93
AARTIIND,2025-04-17,402.95,405.9,398.3,399.75,404.2,17912,1260779,685798,54.39,401.51
AARTIIND,2025-04-21,401.1,426.5,399.05,421.65,399.75,51889,3765360,1130279,30.02,418.08
AARTIIND,2025-04-22,427.0,444.8,421.95,434.15,421.65,83153,5603403,1689289,30.15,436.39
AARTIIND,2025-04-23,436.35,446.0,428.0,432.85,434.15,28549,1894189,415914,21.96,435.78
AARTIIND,2025-04-24,435.0,448.95,433.8,442.35,432.85,66678,5041220,2414047,47.89,443.25
AARTIIND,2025-04-25,443.4,448.0,420.35,428.95,442.35,43167,2779356,1141889,41.08,430.48
AARTIIND,2025-04-28,428.95,435.0,423.5,433.65,428.95,18943,1034923,258656,24.99,429.96
AARTIIND,2025-04-29,433.9,438.35,428.0,430.8,433.65,15544,790637,273417,34.58,432.23
AARTIIND,2025-04-30,430.0,430.65,418.6,421.25,430.8,15183,724695,338628,46.73,423.45
ABFRL,2025-04-01,254.95,262.15,254.9,258.2,256.27,15740,1511871,443221,29.32,258.53
